REGION,PROV_CODE,PROV_NAME,DIST_CODE,DIST_NAME,INC_DATE,INC_TYPE,Persons_killed,Persons_injured,Individuals_affected,Families_affected,Houses_damaged,Houses_destroyed
#adm1 +name +en,#adm2 +code,#adm2 +name +en,#adm3 +code,#adm3 +name +en,#cause+date,#cause +type,#affected +killed +num,#affected +injured +num,#affected +individual +num,#affected +family +num,#damaged+houses+num,#destroyed+houses+num
Eastern,13,Kunar,1301,Asadabad,14/05/2016,Flood / flash flood,0,0,98,14,14,0
Eastern,13,Kunar,1301,Asadabad,16/07/2016,Flood / flash flood,0,0,1673,251,190,61
North Eastern,15,Badakhshan,1513,Shuhada,11/05/2016,Flood / flash flood,0,0,1948,215,174,32
North Eastern,15,Badakhshan,1513,Shuhada,14/05/2016,Flood / flash flood,0,0,670,99,68,0
North Eastern,15,Badakhshan,1513,Shuhada,15/05/2016,Flood / flash flood,0,0,529,78,55,0
North Eastern,15,Badakhshan,1513,Shuhada,16/05/2016,Flood / flash flood,0,0,447,65,45,0
Eastern,13,Kunar,1305,Marawara,10/04/2016,Earthquake,0,0,21,3,3,0
Eastern,13,Kunar,1306,Shigal Wa Sheltan,13/03/2016,Flood / flash flood,0,0,21,3,2,0
Eastern,13,Kunar,1306,Shigal Wa Sheltan,10/04/2016,Earthquake,0,0,35,5,5,0
Eastern,13,Kunar,1306,Shigal Wa Sheltan,10/04/2016,Flood / flash flood,0,0,84,12,6,0
Eastern,13,Kunar,1306,Shigal Wa Sheltan,12/09/2016,Flood / flash flood,1,6,21,3,2,1
North Eastern,15,Badakhshan,1527,Zebak,11/05/2016,Flood / flash flood,0,0,100,15,15,0
North Eastern,15,Badakhshan,1527,Zebak,12/05/2016,Flood / flash flood,0,0,124,13,5,0
Eastern,13,Kunar,1311,Barkunar,13/03/2016,Flood / flash flood,0,0,28,4,4,0
Eastern,13,Kunar,1311,Barkunar,11/05/2016,Flood / flash flood,0,0,28,4,0,4
Eastern,13,Kunar,1311,Barkunar,31/08/2016,Flood / flash flood,0,0,11,2,0,2
Eastern,13,Kunar,1312,Ghaziabad,12/09/2016,Flood / flash flood,0,3,84,12,12,0
Eastern,13,Kunar,1310,Dangam,13/03/2016,Flood / flash flood,0,0,28,4,4,0
North Eastern,15,Badakhshan,1514,Shighnan,12/05/2016,Flood / flash flood,0,0,36,5,0,0
