ISO3 Country Code,Country Name,Population,Tier,Grid Expenditure ($m/yr),Grid CO2 Emissions (t/yr),Offgrid Type,Lighting Type Description,Offgrid Expenditure ($m/yr),Offgrid Capital Costs ($m),Offgrid CO2 Emissions (t/yr),Nonsolid Expenditure ($m/yr),Nonsolid CO2 Emissions (t/yr),Solid Type,Cooking Type Description,Solid Expenditure ($m/yr),Solid Capital Costs ($m),Solid CO2_Emissions (t/yr),Info
#country+code,#country+name,#population+num,#indicator+tier,#indicator+value+grid+expenditure,#indicator+value+grid+co2_emissions,#indicator+type+offgrid,#indicator+text+lighting,#indicator+value+offgrid+expenditure,#indicator+value+offgrid+capital_costs,#indicator+value+offgrid+co2_emissions,#indicator+value+nonsolid+expenditure,#indicator+value+nonsolid+co2_emissions,#indicator+type+solid,#indicator+text+cooking,#indicator+value+solid+expenditure,#indicator+value+solid+capital_costs,#indicator+value+solid+co2_emissions,#meta+info
NLD,Netherlands,52115,Baseline,2.2861174494354293,3977.8443620176467,1,Torch dependent,0.0,0.0,0.0,0.5326762900514593,875.9565658623998,2,Firewood/charcoal mix,0.043560297684613815,0.003007962807179442,1494.3445204426655,"ur(001)=0.531,elap(155)=877,lpg(155)=877"
NLD,Netherlands,52115,Target 1,2.2861174494354293,3977.8443620176467,1,Solar dependent,0.0,0.0,0.0,0.5326762900514593,875.9565658623998,2,Firewood/charcoal mix,0.02276020991245638,0.026303957783990216,826.6165710480493,"ur(001)=0.531,elap(155)=877,lpg(155)=877"
NLD,Netherlands,52115,Target 2,2.2861174494354293,3977.8443620176467,3,Solar dependent,0.0,0.0,0.0,0.5326762900514593,875.9565658623998,7,LPG II,0.04214429860892876,0.026057713300112573,592.3019530287194,"ur(001)=0.531,elap(155)=877,lpg(155)=877"
NLD,Netherlands,52115,Target 3,2.2861174494354293,3977.8443620176467,7,,0.0,0.0,0.0,0.5326762900514593,875.9565658623998,8,,0.1380631036272889,0.04169027387684152,122.45070114643421,"ur(001)=0.531,elap(155)=877,lpg(155)=877"
NOR,Norway,31116,Baseline,5.059630918919753,202.3852367567901,1,Torch dependent,0.0,0.0,0.0,0.13388678929538217,220.16938684129508,2,Firewood/charcoal mix,0.026008316091565356,0.0017959484126397049,892.2203635697232,ur(001)=0.531
NOR,Norway,31116,Target 1,5.059630918919753,202.3852367567901,1,Solar dependent,0.0,0.0,0.0,0.13388678929538217,220.16938684129508,2,Firewood/charcoal mix,0.013589317915121421,0.015705164676752224,493.5435754365223,ur(001)=0.531
NOR,Norway,31116,Target 2,5.059630918919753,202.3852367567901,3,Solar dependent,0.0,0.0,0.0,0.13388678929538217,220.16938684129508,7,LPG II,0.025162873027506836,0.015558140787731461,353.642588201679,ur(001)=0.531
NOR,Norway,31116,Target 3,5.059630918919753,202.3852367567901,7,,0.0,0.0,0.0,0.13388678929538217,220.16938684129508,8,,0.08243260561989679,0.024891790886815125,73.11099120828932,ur(001)=0.531
NPL,Nepal,3221,Baseline,0.006149250487466239,0.07379100584959486,1,Torch dependent,0.0005020208440814586,2.2086387007151676e-05,0.14619359279009084,0.0274001403213048,45.05800852836789,2,Firewood/charcoal mix,0.017769559628806744,0.0012270387785317516,609.5882138878451,
NPL,Nepal,3221,Target 1,0.006149250487466239,0.07379100584959486,1,Solar dependent,0.00012749913837476571,0.0006520004409169111,0.3099225285710058,0.0274001403213048,45.05800852836789,2,Firewood/charcoal mix,0.009284576293113952,0.010730177963896836,337.201838145067,
NPL,Nepal,3221,Target 2,0.006149250487466239,0.07379100584959486,3,Solar dependent,2.4346179287712586e-05,0.0026281362399564736,0.09297675857130173,0.0274001403213048,45.05800852836789,7,LPG II,0.017191930885497943,0.010629727409788844,241.6178362417413,
